periodo,credito_sector_privado,tipo_cambio,inflacion_ipc,pbi_real
Jul.2013,207446.10347391,2.77688571428571,3.24112353098976,143.141670387105
Ago.2013,211527.71996485,2.80198571428571,3.27656563830685,144.36168867002
Sep.2013,212848.99574638,2.77866190476191,2.8308406237713,143.569144187173
Oct.2013,214697.6620623,2.76906666666667,3.0384821880728,145.182901874133
Nov.2013,219170.7555412,2.79875,2.95513866313524,147.221241795513
Dic.2013,221786.8700492,2.78564,2.85968115579219,145.966015714236
Ene.2014,222513.96163796,2.80927727272727,3.06663136092894,145.063403185515
Feb.2014,224548.146316,2.81255,3.77632969464066,146.775450836488
Mar.2014,227580.51229443,2.80657142857143,3.37792817164949,145.81001242282
Abr.2014,229530.27367721,2.79444,3.52315457481135,146.393851050839
May.2014,231307.79128953,2.78695238095238,3.55564442643562,145.456142971842
Jun.2014,235001.421016,2.79452380952381,3.44965289777902,144.094980905035
Jul.2014,237303.6787244,2.78639523809524,3.33116382681631,145.887131294091
Ago.2014,239901.46023668,2.81476666666667,2.68520888934139,146.335649193581
Sep.2014,242961.97490028,2.86469545454545,2.73826215785076,146.888629947313
Oct.2014,246094.13245284,2.90670909090909,3.08804046928228,148.317666345584
Nov.2014,249831.85099824,2.92551,3.15910225000358,147.497318721597
Dic.2014,252936.3265098,2.9625380952381,3.22406118871739,146.632069731315
Ene.2015,256052.55,3.006785,3.07326326860977,147.756580366387
Feb.2015,258367.46,3.079435,2.76858517072284,148.530397765917
Mar.2015,261317.44,3.09223636363636,3.02019928834408,149.7342466296
Abr.2015,265737.69,3.12064,3.0174126785349,152.471072114303
May.2015,269634.02,3.151345,3.36620186894155,148.001598467745
Jun.2015,271083.57,3.16178095238095,3.54491029740405,150.273069169179
Jul.2015,273331.29,3.181965,3.56292547971011,151.302115642306
Ago.2015,277941.89,3.23944285714286,4.0426728422815,150.176590820722
Sep.2015,280692.03,3.21864545454545,3.90455488298777,151.412928336185
Oct.2015,285054.91,3.24952,3.66020462128904,153.589302916454
Nov.2015,289529.87,3.3382,4.17256708018865,152.919012481337
Dic.2015,290854.05,3.38377619047619,4.39792854166932,155.572579637414
Ene.2016,292491.87,3.43865,4.60868784321291,153.366711603022
Feb.2016,294775.32,3.50695714285714,4.47375701506678,155.387714816724
Mar.2016,291749.63,3.40692857142857,4.30108051334928,157.356675631232
Abr.2016,291490.26,3.3011,3.9072132668403,154.904926413332
May.2016,292433.18,3.33468181818182,3.54061765756533,154.278866546778
Jun.2016,293270.22,3.3161,3.34161872071432,155.820144927354
Jul.2016,297490.08,3.29947368421053,2.96195894036733,157.861774636052
Ago.2016,299131.5,3.33382727272727,2.94253095758978,158.159984471911
Sep.2016,300688.44,3.38245909090909,3.12667111206595,157.982713988178
Oct.2016,300547.79,3.38601904761905,3.40528775471299,156.937610169725
Nov.2016,303373.31,3.40348947368421,3.34963245522741,158.314862252382
Dic.2016,304296.35,3.39542380952381,3.23488195037019,160.504522776752
Ene.2017,300812.89601968,3.33987272727273,3.09636415923956,159.998577212189
Feb.2017,301224.6440489,3.259575,3.24979324559658,159.533281818095
Mar.2017,301308.89997075,3.26398260869565,3.97485445147011,157.127308110684
Abr.2017,302660.20300212,3.24775555555556,3.69471572141791,158.607742719969
May.2017,304378.93912749,3.27346363636364,3.03980253604198,159.641027378146
Jun.2017,305321.7812695,3.267975,2.73244391775147,162.15553345217
Jul.2017,307111.79203888,3.24937368421053,2.85206926625983,161.172272080632
Ago.2017,311305.54548972,3.24155909090909,3.1738100701898,162.512303480914
Sep.2017,315059.84913422,3.24652380952381,2.94499513550225,163.540799118914
Oct.2017,315361.938961,3.25129545454545,2.04014312278334,162.00215700662
Nov.2017,318298.64551876,3.24079047619048,1.5443382320383,161.436631654669
Dic.2017,321094.05625408,3.2465,1.36485588371446,163.478734704822
Ene.2018,318754.24597424,3.21490952380952,1.25318836941743,164.625418244199
